Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,RM11,RM12,RM13,RM21,RM22,RM23,RM31,RM32,RM33,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ
461770993.910101,-0.035400,-0.793808,-0.587769,-0.000887,1.053208,-0.065107,0.997831,-0.065831,0.000439,0.032191,0.493737,0.869015,-0.057425,-0.867116,0.494785,0.002133,0.025738,-0.016323,0.156136,-0.165424,-0.059359,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770993.943406,-0.014984,-0.759308,-0.651688,-0.000887,1.053208,-0.065107,0.997831,-0.065831,0.000439,0.032191,0.493737,0.869015,-0.057425,-0.867116,0.494785,0.002133,0.025738,-0.016323,0.156136,-0.165424,-0.059359,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770993.976794,-0.045654,-0.787506,-0.616043,-0.000887,1.053208,-0.065107,0.997831,-0.065831,0.000439,0.032191,0.493737,0.869015,-0.057425,-0.867116,0.494785,0.002133,0.025738,-0.016323,0.156136,-0.165424,-0.059359,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770994.010133,-0.029572,-0.784271,-0.582352,-0.000887,1.053208,-0.065107,0.997831,-0.065831,0.000439,0.032191,0.493737,0.869015,-0.057425,-0.867116,0.494785,0.002133,0.025738,-0.016323,0.156136,-0.165424,-0.059359,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770994.042870,-0.054245,-0.781525,-0.580643,-0.000887,1.053208,-0.065107,0.997831,-0.065831,0.000439,0.032191,0.493737,0.869015,-0.057425,-0.867116,0.494785,0.002133,0.025738,-0.016323,0.156136,-0.165424,-0.059359,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770994.076723,-0.096909,-0.811584,-0.577393,-0.000887,1.053208,-0.065107,0.997831,-0.065831,0.000439,0.032191,0.493737,0.869015,-0.057425,-0.867116,0.494785,0.002133,0.025738,-0.016323,0.156136,-0.165424,-0.059359,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770994.110071,-0.049088,-0.790924,-0.586151,-0.000887,1.053208,-0.065107,0.997831,-0.065831,0.000439,0.032191,0.493737,0.869015,-0.057425,-0.867116,0.494785,0.002133,0.025738,-0.016323,0.156136,-0.165424,-0.059359,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770994.143485,-0.059845,-0.801102,-0.579376,-0.192864,0.922372,0.094316,0.991484,-0.059660,0.115756,-0.056876,0.601247,0.797036,-0.117149,-0.796833,0.592734,0.057513,0.000054,0.009574,0.171867,-0.122875,-0.046570,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770994.176970,-0.064087,-0.808701,-0.589630,-0.176689,0.929963,0.079834,0.992532,-0.061942,0.105087,-0.047679,0.595959,0.801598,-0.112280,-0.800622,0.588555,0.043106,0.000939,0.011086,0.059585,-0.032486,0.001653,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
461770994.210134,-0.057678,-0.796036,-0.579926,-0.158040,0.934041,0.062865,0.993537,-0.064249,0.093578,-0.037354,0.593415,0.804029,-0.107189,-0.802328,0.587180,0.047405,0.000684,-0.020059,0.198102,-0.125286,-0.033041,146.384201,147.478745,-1.000000,-5.871869,-40.977943,-12.865429
