Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ
461771997.938880,0.008377,-0.134537,-0.958221,0.011262,-0.010276,-0.349859,0.001541,0.001443,-0.003229,-0.000022,-0.002372,0.003485,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771997.971932,0.035950,-0.123001,-1.031006,0.011262,-0.010276,-0.349859,0.001541,0.001443,-0.003229,-0.000022,-0.002372,0.003485,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.005549,0.018707,-0.111160,-0.992661,0.011262,-0.010276,-0.349859,0.001541,0.001443,-0.003229,-0.000022,-0.002372,0.003485,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.038874,0.010437,-0.115616,-0.981674,0.011262,-0.010276,-0.349859,0.001541,0.001443,-0.003229,-0.000022,-0.002372,0.003485,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.072100,0.036026,-0.112869,-0.988983,0.011262,-0.010276,-0.349859,0.001541,0.001443,-0.003229,-0.000022,-0.002372,0.003485,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.104965,0.031967,-0.109589,-1.011795,0.011262,-0.010276,-0.349859,0.001541,0.001443,-0.003229,-0.000022,-0.002372,0.003485,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.139025,0.040909,-0.120041,-0.981522,0.011262,-0.010276,-0.349859,0.001541,0.001443,-0.003229,-0.000022,-0.002372,0.003485,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.172072,0.029358,-0.110352,-1.034363,0.008567,0.139406,-0.000640,0.028855,0.033364,-0.043292,-0.014722,-0.033382,-0.005501,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.205776,0.031906,-0.114624,-1.024063,0.005342,0.140324,-0.000700,0.016867,0.016542,-0.008180,0.010375,-0.072664,0.013383,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.238999,0.015259,-0.120331,-0.996994,0.007954,0.137873,-0.000963,0.011622,0.021699,-0.029800,0.036383,-0.017613,0.000832,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
461771998.271988,0.020218,-0.116409,-0.997055,0.010972,0.133975,-0.001228,0.008139,0.014968,0.007199,-0.022356,0.013338,-0.003589,159.300430,160.394974,-1.000000,-41.739780,-47.332993,-103.241676
