Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,Quat.X,Quat.Y,Quat.Z,Quat.W,RM11,RM12,RM13,RM21,RM22,RM23,RM31,RM32,RM33,GravAcc_X,GravAcc_Y,GravAcc_Z,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ,Lat,Long,LocAccuracy,Course,Speed,Altitude
462520305.392464,0.056320,-0.821594,-0.540482,-0.078161,0.239014,1.201051,0.120209,0.035314,0.556774,0.821161,0.377511,0.922893,0.075862,-0.905912,0.351104,0.236745,0.191855,-0.158098,0.968606,-0.075862,-0.236745,-0.968606,0.065501,0.011999,0.054009,0.106853,0.232014,0.382717,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.426406,0.019760,-0.841064,-0.547974,-0.078161,0.239014,1.201051,0.120209,0.035314,0.556774,0.821161,0.377511,0.922893,0.075862,-0.905912,0.351104,0.236745,0.191855,-0.158098,0.968606,-0.075862,-0.236745,-0.968606,0.065501,0.011999,0.054009,0.106853,0.232014,0.382717,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.459789,0.040024,-0.828110,-0.556076,-0.078161,0.239014,1.201051,0.120209,0.035314,0.556774,0.821161,0.377511,0.922893,0.075862,-0.905912,0.351104,0.236745,0.191855,-0.158098,0.968606,-0.075862,-0.236745,-0.968606,0.065501,0.011999,0.054009,0.106853,0.232014,0.382717,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.492666,0.015106,-0.856155,-0.502426,-0.000807,0.000778,0.000245,0.000389,-0.000404,0.000122,1.000000,1.000000,0.000245,0.000807,-0.000245,1.000000,0.000778,-0.000807,-0.000779,0.999999,-0.000807,-0.000778,-0.999999,0.000000,0.000000,0.000000,0.144812,-0.150132,0.045553,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.526396,0.034454,-0.862778,-0.491058,0.097419,0.993938,-0.055266,0.477199,0.029627,-0.001053,0.878295,0.998242,0.026425,-0.053048,0.030126,0.544561,0.838180,0.051037,-0.838305,0.542807,0.053048,-0.838180,-0.542807,-0.035836,-0.020920,0.051398,0.003140,-0.055889,-0.117506,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.559814,0.029572,-0.836517,-0.528763,0.098425,0.994607,-0.056711,0.477514,0.029708,-0.001429,0.878121,0.998231,0.025862,-0.053539,0.030882,0.543957,0.838545,0.050809,-0.838715,0.542196,0.053539,-0.838545,-0.542196,-0.026424,0.003508,0.021795,-0.039341,0.062421,-0.060432,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.593073,0.061432,-0.840134,-0.529175,0.096757,0.995963,-0.056069,0.478098,0.029096,-0.001508,0.877823,0.998302,0.025175,-0.052524,0.030468,0.542840,0.839283,0.049641,-0.839459,0.541152,0.052524,-0.839283,-0.541152,-0.008411,-0.005276,0.006209,0.053585,-0.108210,0.009089,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.626394,0.046188,-0.837677,-0.542892,0.096026,0.999695,-0.058768,0.479770,0.028039,-0.002762,0.876942,0.998412,0.022060,-0.051828,0.031749,0.539625,0.841306,0.046527,-0.841616,0.538068,0.051828,-0.841306,-0.538068,0.004660,0.001127,0.002790,0.129229,-0.036580,-0.070348,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.659762,0.037750,-0.845520,-0.522354,0.097633,1.000281,-0.062253,0.480078,0.027893,-0.003888,0.876774,0.998414,0.019965,-0.052645,0.033599,0.539020,0.841623,0.045179,-0.842057,0.537494,0.052645,-0.841623,-0.537494,-0.039339,0.008050,-0.001828,-0.032891,-0.017343,-0.052252,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709417,77.206209,65.000000,-1.000000,-1.000000,205.574524
462520305.693092,0.041794,-0.842529,-0.531357,0.092470,1.001815,-0.058655,0.480691,0.026456,-0.003508,0.876484,0.998576,0.019286,-0.049749,0.031584,0.537848,0.842450,0.043005,-0.842821,0.536472,0.049749,-0.842450,-0.536472,0.000635,-0.009311,0.020405,-0.026487,-0.017249,-0.022859,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709406,77.206353,65.000000,-1.000000,-1.000000,205.549011
462520305.726470,0.024719,-0.844360,-0.549164,0.092756,1.007166,-0.060706,0.483058,0.025958,-0.004190,0.875193,0.998617,0.017744,-0.049485,0.032413,0.533275,0.845321,0.041389,-0.845756,0.531962,0.049485,-0.845321,-0.531962,-0.017121,0.001464,-0.011327,0.184187,-0.040656,-0.085640,88.962410,90.062546,-1.000000,-42.125378,-3.534706,-24.340141,28.709406,77.206353,65.000000,-1.000000,-1.000000,205.549011
